Year,Population,CPI,Retail,GNP,Production,Trade,Capital,Equipment,Economy,DJI,IBM,BondLong,Unemployment,Prime,BondShort,Funds,Automobile,Housing,Capacity
67,197.892,0.329,24.165,2241.8,57.6,67.8,8.088,138.3,73.3,830.56,37.9262,4.4,3.9,5.96,4.72,4.94,8.469,1.067,88.7
67.25,198.363,0.331,24.221,2255.2,57.2,71.2,8.342,139.8,72.9,868.66,44.9585,4.51,3.8,5.5,3.84,4.05,8.916,1.091,86.8
67.5,198.911,0.334,24.662,2287.7,56.5,71.3,8.822,138,75.4,888.51,50.1298,4.86,3.8,5.5,4.2,3.79,8.76,1.364,84.8
67.75,199.498,0.337,24.976,2300.6001,58,72.2,9.201,142.5,76.9,907.54,57.8531,5.18,4,5.5,4.55,3.88,7.866,1.491,85.8
68,199.92,0.341,25.818,2327.3,59.4,77.3,5.909,146.6,78,884.77,61.1022,5.18,3.7,6,4.99,4.6,9.482,1.38,86.8
68.25,200.361,0.344,26.7,2366.8999,59.9,79.3,6.368,142.4,78.5,893.37,64.511,5.28,3.5,6.2,5.37,5.76,9.119,1.554,86.5
68.5,200.898,0.349,27.661,2385.3,60.7,83.6,6.26,145.6,79.6,905.32,69.8351,5.09,3.7,6.5,5.31,6.02,10.02,1.512,86.6
68.75,201.466,0.353,28.192,2383,61.2,83.8,6.733,151.5,81.4,955.47,64.3847,5.24,3.4,6,5.35,5.92,10.041,1.569,86.4
69,201.881,0.357,28.784,2416.5,62.6,85.8,6.586,156.6,83.1,934.99,60.7079,5.74,3.4,6.95,6.13,6.3,9.968,1.769,87.3
69.25,202.331,0.363,28.931,2419.8,63.2,86.2,7.934,156.6,83.1,927.38,62.5417,5.84,3.4,7.5,6.11,7.41,9.634,1.524,87.3
69.5,202.877,0.368,29.037,2433.2,63.9,86.4,6.573,158,81.8,844.02,65.6025,6.07,3.5,8.5,6.98,8.61,9.132,1.368,87.4
69.75,203.5,0.373,30.11,2423.5,64.1,86.5,6.463,156.2,81.1,832.51,70.4045,6.27,3.7,8.5,6.99,9,9.876,1.381,86.7
